id,name,type,charter_year,created_at,domain,is_active
b01a242a-610a-4dd2-891c-114e3530ff67,ST. PAUL’SUNIVERSITY,University,,2025-11-24 18:49:34.678709+00,,true
ba19a16f-002a-4ada-837e-15558e55c670,TANGAZA UNIVERSITY COLLEGE,University,,2025-11-24 18:49:34.678709+00,,true
bb0aa67b-893c-4ea7-b9b8-c9f56f1c4112,KARATINA UNIVERSITY          Executive,University,,2025-11-24 18:49:34.678709+00,,true
bb9993d8-fbe6-4f4b-9831-104da7a9159b,KAIMOSI FRIENDS UNIVERSITY,University,,2025-11-24 18:49:34.678709+00,,true
c25f3c49-a17f-4e7b-9022-5152c5c14895,Bachelor of Medicine and,University,,2025-11-24 18:49:34.678709+00,,true
c7c520b2-069d-4787-8f95-6befcf439610,KIRINYAGA UNIVERSITY,University,,2025-11-24 18:49:34.678709+00,,true
c8b90870-5809-4310-85fd-83aa2e46d62d,UNIVERSITY OF KABIANGA   Executive,University,,2025-11-24 18:49:34.678709+00,,true
cb115210-985d-40fc-8638-6ace4141b413,MAMA NGINA UNIVERSITY COLLEGE,University,,2025-11-24 18:49:34.678709+00,,true
d434883d-cd4e-4bbe-ae76-ae0f448774ec,Executive,University,,2025-11-24 18:49:34.678709+00,,true
d75bc051-255c-461a-818b-5fbae2133fa9,MAASAI MARA UNIVERSITY,University,,2025-11-24 18:49:34.678709+00,,true
d878133e-ec71-4ff6-bd43-dacd8dd89014,CATHOLIC UNIVERSITY OF EASTERN AFRICA,University,,2025-11-24 18:49:34.678709+00,,true
d8c3825c-4800-4d37-92a7-b3470109a379,UNITED STATES INTERNATIONAL UNIVERSITY - AFRICA,University,,2025-11-24 18:49:34.678709+00,,true
d8cb8a47-85c8-42d8-a7a1-b77dae2ceb38,MASINDE MULIRO UNIVERSITY OF SCIENCE AND TECHNOLOGYBachelor of Medicine and,University,,2025-11-24 18:49:34.678709+00,,true
d9c9b9cb-3231-4aa5-bb33-5010b50fb235,TECHNICAL UNIVERSITY OF KENYA,University,,2025-11-24 18:49:34.678709+00,,true
dd3b84c9-e0bc-4dd8-b654-e17fd51783a2,UMMA UNIVERSITY,University,,2025-11-24 18:49:34.678709+00,,true
ded41b5f-ca61-400d-b375-a787b160ddd4,KIRIRI WOMEN’S UNIVERSITY OF SCIENCE AND TECHNOLOGY,University,,2025-11-24 18:49:34.678709+00,,true
dedaab2e-5312-49e7-9a97-b91110beb027,EGERTON UNIVERSITY,University,,2025-11-24 18:49:34.678709+00,,true
dfe85d26-5be0-4311-ada0-5b663e854b4d,KISII UNIVERSITY,University,,2025-11-24 18:49:34.678709+00,,true
e43f8b1b-db72-45f8-81d2-ecceb6fbdb4d,GARISSA UNIVERSITY,University,,2025-11-24 18:49:34.678709+00,,true
e609ae6b-87d0-425e-addf-a75a07a0266e,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY,University,,2025-11-24 18:49:34.678709+00,,true
eeb4ffbe-6ae5-4839-a374-456ed0618732,PWANI UNIVERSITY,University,,2025-11-24 18:49:34.678709+00,,true
f05f5b8e-b91d-4305-83fd-29d4f46d6d0e,MULTIMEDIA UNIVERSITY OF KENYA,University,,2025-11-24 18:49:34.678709+00,,true
f989c8e0-08f8-42c2-a412-ad8dcdd4c785,ISLAMIC UNIVERSITY OF KENYA,University,,2025-11-24 18:49:34.678709+00,,true
fa610708-bdd6-487d-a68a-c73ca4aa35a1,KENYA METHODIST UNIVERSITY,University,,2025-11-24 18:49:34.678709+00,,true
fbbe4d1f-ea45-4050-bd42-96f657f1695e,MERU UNIVERSITY OF SCIENCE AND TECHNOLOGY          Online,University,,2025-11-24 18:49:34.678709+00,,true
